C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit.1,węgliki.1,martenzyt.1,ausferryt.1,austenit.1,Wolna miedź.1,kontrolka,Unnamed: 32,ferryt.1,ferryt.2,perlit.2,węgliki.2,martenzyt.2,ausferryt.2,austenit.2,Wolna miedź.2,Unnamed: 41
3.47,2.73,0.345,0.0,0.007,0.0,0.0,0.0,9,4.2,22.2,0.0,4,100,0,0,M,61.038811,11.531544,0.00044,100.0,2.92544,0.0,82.08618,1,0,1,40,81,0,0,100,,2.2e-05,2.2e-05,22.75951,0.00138,7.200453,77.17147,0.000289,0.0,80.02297
3.72,2.42,0.425,0.0,0.003,0.47,4.14,0.21,16,0.0,0.0,0.0,0,18,100,0,AN,18.292269,3.835017,2.566057,15.66541,5.589569,0.181281,102.88995,10,5,0,95,62,3,0,100,,9.101407,2.2e-05,0.004045,7.482706,0.00044,0.0,0.505886,0.0,104.98467
2.82,2.43,0.183,1.07,0.004,0.0,0.0,0.0,8,5.5,0.0,0.0,6,0,0,0,AN,22.99415,0.00138,4.513684,100.0,0.000289,0.0,153.62854,0,0,0,99,95,98,0,100,,2.2e-05,2.2e-05,19.692164,0.00138,4.865265,0.0,4.10448,0.037763,126.16238
3.35,2.3,0.342,0.03,0.003,0.0,0.0,0.19,5,0.4,23.8,3.4,6,51,88,0,AN,94.95399,11.227631,95.98867,11.72414,0.000289,0.0,94.01004,12,0,0,8,97,63,0,100,,2.2e-05,3.606965,2.7948,10.558812,0.00044,4.92094,0.08418,0.004015,90.58854
2.91,2.36,0.418,0.0,0.0,0.0,16.6,0.0,3,0.0,0.8,4.1,96,0,100,0,M,93.776524,12.873883,0.00044,15.80078,0.000289,0.009045,102.23495,0,4,10,7,73,3,0,109,,2.2e-05,2.2e-05,10.674903,8.389413,6.419169,18.05335,0.000289,0.055301,106.9862
3.25,2.73,0.17,0.0,0.0,0.33,0.0,0.3,3,0.0,15.3,0.0,5,0,7,0,M,94.95399,9.392131,7.843836,14.95022,5.074643,0.115428,98.46875,12,10,0,99,14,1,0,100,,55.217815,2.557289,0.004045,13.575652,6.217208,70.43047,5.607674,0.0,129.4253
3.03,2.41,1.39,0.02,0.004,0.0,1.51,0.1,3,0.0,84.7,0.0,96,100,0,0,AN,22.003506,13.296623,5.712772,0.0,5.883108,0.036808,82.04455,0,89,0,99,57,0,0,100,,2.2e-05,18.60446,8.268545,8.240924,6.900326,85.37314,3.836319,0.081534,103.41136
3.16,2.31,0.073,0.01,0.0,2.99,0.0,0.0,5,0.0,99.0,0.0,0,14,100,0,AF,3.035365,12.807836,7.289743,0.0,0.000289,0.0,140.02726,0,39,0,99,80,5,0,100,,2.2e-05,5.506255,14.704353,0.00138,95.98867,24.49369,1.056293,0.172599,113.15516
3.27,2.08,0.192,0.0,0.003,0.0,0.0,0.0,16,0.0,23.8,1.4,2,98,100,0,FP,7.195475,6.885122,0.00044,23.43037,4.376526,0.001873,78.24375,0,9,17,0,68,0,0,100,,2.2e-05,0.673763,94.95399,6.966397,5.802187,0.0,1.335938,0.177347,126.53221
2.99,2.27,0.299,0.06,0.0,0.0,21.04,0.0,8,5.7,26.1,0.0,4,0,100,0,FP,8.845196,2.008506,1.409161,0.0,4.109672,0.0,106.84772,0,21,0,0,0,6,0,112,,2.2e-05,4.508452,0.004045,0.00138,0.088727,0.0,0.212816,0.00115,114.49676
3.08,2.31,0.382,0.02,0.0,0.0,0.0,1.27,7,6.4,2.3,0.0,2,16,5,0,AN,7.772053,12.736559,0.238424,0.26383,5.355726,0.10802,115.67638,11,0,1,0,5,2,0,100,,2.2e-05,2.2e-05,0.004045,2.233126,0.00044,4.91608,5.073328,0.194667,113.74336
3.13,2.67,0.388,0.0,0.006,0.0,1.09,0.0,14,0.0,22.9,0.0,0,16,3,0,M,94.95399,12.053616,0.00044,2.81978,0.000289,0.201112,108.95161,5,65,1,99,0,6,0,100,,26.058227,0.075129,0.004045,2.004213,0.00044,0.0,0.000289,0.0,107.41271
3.77,2.51,1.39,0.0,0.0,0.16,0.68,0.32,14,0.0,58.8,0.0,0,0,6,0,AN,15.516881,0.00138,2.061916,0.0,2.547589,0.0,85.26498,8,69,14,2,10,5,0,100,,47.338886,1.039081,15.238584,0.00138,3.600881,17.55492,6.18254,0.0,90.27785
3.69,2.73,0.185,0.15,0.0,0.19,12.63,0.57,17,0.0,20.4,0.3,0,0,6,0,AN,32.509881,0.00138,0.00044,8.71137,3.208334,0.217714,35.60635,0,0,0,3,97,4,0,100,,2.327346,4.439291,67.049176,13.299291,95.98867,99.34386,1.842911,0.198971,80.02297
2.87,2.73,0.02,0.11,0.002,0.37,14.82,0.0,11,0.0,0.0,0.0,0,54,1,0,M,0.004045,4.556612,1.030513,79.93569,0.000289,0.0,133.87645,6,30,1,0,7,5,0,100,,62.46501,1.839451,94.95399,0.00138,1.997515,14.96345,1.216232,0.060827,136.18231
3.9,2.28,0.142,0.0,0.0,3.36,0.3,0.0,8,0.0,26.4,0.0,4,16,100,0,M,94.95399,8.050516,0.00044,1.39817,0.000289,0.002778,86.95411,8,19,0,0,97,4,0,100,,2.2e-05,2.2e-05,1.075548,57.12141,95.98867,100.0,5.799314,0.0,87.87103
3.79,2.73,0.072,0.0,0.0,0.0,0.0,0.0,16,0.0,26.5,0.0,0,93,4,0,AF,94.95399,0.00138,0.00044,100.0,42.609899,0.0,133.60952,0,0,0,99,0,98,0,110,,2.2e-05,3.640889,14.087854,6.967692,0.848437,84.39376,0.339783,0.147851,100.14481
3.02,2.25,0.113,0.0,0.0,0.19,1.51,0.64,7,0.0,0.0,0.0,0,0,0,0,AN,0.004045,0.00138,0.00044,0.0,0.905254,0.0,86.24236,0,0,4,0,22,2,0,100,,2.2e-05,2.2e-05,94.95399,0.00138,0.00044,0.0,66.53283,0.071299,132.5589
3.15,2.36,0.157,0.06,0.0,0.0,3.96,2.44,11,0.0,39.5,0.0,0,0,3,0,AN,82.655526,4.479994,2.577191,97.86502,3.677445,0.0,153.62854,0,15,9,99,97,86,0,109,,2.2e-05,3.975955,15.667126,11.455441,0.00044,10.29794,98.07675,0.0,126.54933
3.72,2.34,0.25,0.0,0.005,0.0,5.09,1.83,9,0.0,21.1,5.7,4,14,83,0,AN,94.95399,29.525632,0.00044,8.37286,1.320514,0.0,140.95922,5,13,6,99,97,4,0,100,,43.862427,2.2e-05,0.074735,0.00138,59.181493,5.32485,4.850028,0.0,87.61937
3.03,2.08,0.125,0.13,0.006,0.0,2.11,0.0,24,2.9,0.8,0.0,1,7,0,0,AF,1.204129,11.359833,0.290823,4.10579,0.000289,0.11687,121.47305,5,5,0,0,0,2,0,100,,2.2e-05,2.2e-05,20.985351,11.973841,2.564508,0.0,0.000289,0.166187,96.56758
2.9,2.27,0.289,0.0,0.0,0.0,1.17,1.28,24,1.5,20.3,0.0,0,0,7,0,M,0.004045,57.12141,95.98867,20.65147,6.057692,0.0,107.88143,0,14,0,0,1,0,0,100,,14.558765,3.766508,0.004045,4.30718,0.014634,0.0,2.994623,0.153982,129.34451
3.52,2.34,0.095,0.0,0.0,0.0,0.0,0.0,9,64.2,20.9,0.0,6,0,6,0,M,94.95399,10.0541,3.982719,10.75719,2.326382,0.072059,114.2218,72,99,0,99,97,1,0,105,,2.2e-05,3.556334,17.177494,13.844762,6.845347,79.71444,0.000289,0.0,125.32269
3.9,2.4,0.188,0.01,0.0,0.07,0.99,0.14,3,0.0,68.4,0.0,0,8,7,0,M,7.679555,0.00138,0.00044,14.34021,4.41951,0.179933,90.93425,3,24,0,6,96,98,0,100,,2.2e-05,5.11834,7.815632,13.383498,0.00044,6.49365,0.000289,0.122781,136.14898
3.9,2.38,0.404,0.0,0.0,0.47,3.57,0.04,4,0.0,0.0,0.0,0,100,21,0,M,43.942045,11.897097,95.98867,11.36682,0.000289,0.0,115.18796,11,51,9,12,16,0,0,100,,2.2e-05,2.2e-05,16.618086,6.046526,4.949893,87.08619,1.680681,0.0,80.02297
3.29,2.69,0.259,0.0,0.006,0.0,21.04,0.0,11,2.5,23.7,9.6,2,7,6,0,M,23.188421,8.512011,0.00044,11.1965,0.000289,0.0,99.31712,7,11,0,4,10,1,0,100,,51.508401,2.2e-05,94.95399,5.358877,7.429457,18.91911,3.976687,0.047161,118.44142
4.24,2.16,0.363,1.35,0.0,0.0,0.0,0.71,12,6.8,1.2,0.5,1,100,2,0,AN,82.522414,6.352182,0.00044,9.52169,0.000289,0.0,153.62854,0,0,4,10,72,0,0,100,,2.2e-05,2.322915,92.706154,10.96498,0.00044,3.55168,0.000289,0.073231,92.63
3.13,2.08,0.134,0.0,0.001,0.2,0.0,1.96,5,3.4,13.9,8.3,7,0,6,0,AN,23.190399,0.00138,4.262072,0.0,0.000289,0.060993,124.62113,0,0,7,1,60,98,0,142,,25.390666,1.534276,19.391584,11.082416,73.180247,0.0,0.000289,0.127064,146.22079
3.22,2.31,0.354,0.13,0.0,0.0,21.04,0.0,3,2.5,0.0,0.0,0,0,3,0,AN,5.05005,0.00138,95.98867,71.88569,6.178618,0.0,133.91183,0,25,0,99,97,98,0,100,,2.2e-05,4.846198,83.921477,0.00138,81.275202,11.354,5.659708,0.0,120.41786
3.19,2.73,0.122,0.0,0.0,0.0,0.37,0.08,24,3.4,3.0,0.0,0,16,0,0,M,4.770696,5.482277,6.357717,0.0,0.000289,0.0,120.62089,9,0,0,3,0,50,0,100,,21.138458,2.728189,11.162163,0.00138,6.769439,17.29903,1.815246,0.088267,80.02297
2.92,2.41,0.127,0.0,0.004,0.0,0.61,2.34,7,3.9,0.0,0.0,0,15,2,5,M,69.568243,12.120548,3.797486,90.23202,0.000289,0.093646,131.78808,7,63,3,25,97,1,0,100,,2.2e-05,2.141132,9.519505,0.00138,3.56073,6.11734,1.945939,0.0,80.02297
3.66,2.29,0.194,0.0,0.0,0.0,0.0,0.0,23,0.0,99.0,0.0,4,10,7,0,M,94.95399,57.085023,2.112294,20.13187,0.000289,0.105827,125.88831,10,0,0,99,71,80,0,188,,2.2e-05,4.404709,7.890479,0.00138,0.00044,0.0,5.290999,0.0,109.10289
3.11,2.08,1.39,0.0,0.0,0.3,0.0,0.07,12,0.0,11.1,16.3,2,0,5,0,AN,94.95399,2.119457,0.00044,100.0,0.000289,0.118115,79.10861,11,10,3,0,11,21,0,103,,2.2e-05,3.163235,0.004045,0.00138,0.00044,0.0,98.07675,0.0,80.1131
3.08,2.47,0.456,0.01,0.006,0.1,0.0,1.07,13,0.4,3.3,0.0,1,21,2,0,M,94.95399,1.051283,0.00044,21.49342,0.000289,0.0,88.99744,12,74,0,0,0,1,0,102,,2.2e-05,2.2e-05,1.088558,0.00138,1.693818,100.0,5.586437,0.0,80.02297
3.8,2.19,0.462,0.0,0.003,0.0,21.04,1.22,9,33.2,12.0,0.0,0,7,6,0,FP,0.004045,0.00138,5.73627,0.0,3.696322,0.0,75.14334,6,13,0,99,97,5,0,100,,16.162915,3.380936,78.758437,11.688847,0.00044,13.12753,0.000289,0.461579,127.40445
3.23,2.27,0.677,0.0,0.0,0.18,11.67,0.0,13,0.0,72.6,0.0,0,19,0,0,AN,8.268602,5.382613,4.052997,0.29169,3.318952,0.0,139.62586,9,18,0,99,0,0,0,100,,3.456639,2.2e-05,94.95399,4.097213,3.676908,19.22904,2.996085,0.0,110.10741
2.86,2.38,0.02,0.0,0.003,0.4,0.05,0.16,19,0.0,0.0,0.0,1,1,0,0,M,87.959524,12.437236,95.98867,0.88597,20.019447,0.0,101.07141,9,0,0,1,97,3,0,100,,54.795265,2.2e-05,21.78146,0.00138,7.207584,9.34292,4.162406,0.0,105.05583
2.98,2.3,0.131,0.0,0.0,0.0,21.04,0.0,9,0.0,14.0,0.0,0,0,0,0,M,0.402825,0.00138,1.220117,14.93363,0.000289,0.160216,138.56052,0,17,0,84,0,5,0,225,,4.639776,2.2e-05,10.491545,0.00138,6.27259,18.11429,5.794316,0.0,103.39303
3.76,2.39,0.363,0.0,0.0,0.0,5.68,0.0,19,0.0,24.6,0.8,6,5,5,0,M,94.95399,57.12141,3.188155,15.25616,0.000289,0.0,53.69273,11,60,0,79,8,0,0,106,,2.2e-05,2.2e-05,6.927089,0.00138,6.553712,100.0,5.945542,0.0,128.20359
2.83,2.45,0.22,0.0,0.0,0.0,0.0,0.0,14,3.8,23.2,4.1,5,0,4,0,M,16.538649,9.770528,95.98867,0.0,0.000289,0.0,119.94065,0,19,0,99,0,84,0,107,,2.2e-05,5.331794,0.331936,57.12141,95.98867,0.0,3.858081,0.0,133.91941
3.09,2.32,0.391,0.08,0.003,0.0,12.76,0.0,21,18.5,7.7,0.0,0,0,5,0,FP,23.473586,0.00138,4.569811,0.0,4.424445,0.0,86.46563,0,100,11,99,97,98,0,100,,2.2e-05,25.757514,0.004045,0.00138,0.00044,0.0,0.000289,0.0,134.05757
3.16,2.73,0.342,0.0,0.005,0.0,0.0,0.73,24,2.3,14.9,2.6,96,7,38,0,AN,94.95399,7.280131,0.00044,19.80004,0.000289,0.0,104.39942,0,0,0,0,54,98,0,100,,55.199478,2.2e-05,94.95399,10.915334,95.98867,0.0,1.029105,0.095467,121.3155
3.18,2.64,0.393,0.0,0.001,0.06,0.0,0.14,13,0.0,0.0,2.5,12,100,0,0,M,94.95399,10.57515,0.00044,0.0,0.000289,0.141305,82.64168,8,0,0,7,97,98,0,100,,2.2e-05,0.479072,0.004045,38.260168,95.98867,8.67234,0.000289,0.0,80.02297
2.85,2.35,0.02,0.05,0.002,0.0,0.0,0.0,3,19.7,15.6,13.1,4,100,4,0,AN,84.026912,7.403322,0.00044,8.55901,1.867391,0.106984,123.29412,11,100,0,85,97,1,0,100,,2.2e-05,2.2e-05,5.936191,12.664715,5.048292,100.0,0.201371,0.103684,116.10216
3.6,2.3,0.373,0.0,0.0,0.86,21.04,0.0,13,51.3,11.3,0.0,0,63,4,1,M,9.378748,1.114917,0.00044,0.0,2.345622,0.082928,35.60635,0,7,0,2,19,14,0,100,,2.2e-05,2.2e-05,0.004045,57.12141,0.00044,5.17454,0.000289,0.190824,80.02297
3.01,2.47,0.286,0.0,0.0,0.03,0.0,0.18,18,2.0,13.7,7.9,0,10,15,0,AN,94.95399,8.911511,0.00044,69.42008,0.517155,0.102468,132.36426,127,10,8,48,81,4,0,100,,5.470608,5.434423,68.415992,9.322002,1.477738,0.51119,0.000289,0.000733,105.35676
3.59,2.58,0.209,0.0,0.004,0.0,0.0,2.44,18,0.0,17.6,0.0,96,0,6,0,AN,17.443877,0.910322,0.00044,6.90197,2.741521,0.0,84.61051,0,0,2,0,0,6,0,100,,0.810334,58.756732,13.508662,13.768071,3.510228,0.0,98.07675,0.179765,128.53083
3.16,2.71,0.192,0.0,0.0,0.09,0.0,0.0,4,0.0,99.0,4.4,0,0,5,0,AN,76.246476,0.00138,0.00044,18.73058,0.000289,0.0,71.73286,3,21,34,99,18,0,0,255,,15.300912,2.2e-05,94.95399,10.764399,5.463801,0.0,1.857328,0.177739,103.02772
2.73,2.34,0.086,0.0,0.0,0.0,21.04,0.0,12,0.0,0.0,0.0,96,14,100,0,AF,64.200275,32.212574,0.00044,0.0,0.848122,0.166916,113.68573,0,71,0,0,0,6,0,100,,5.623069,2.2e-05,5.122322,0.00138,95.98867,0.0,98.07675,0.0,118.86548
3.06,2.52,0.354,0.03,0.002,0.0,1.52,0.7,24,2.0,42.7,0.6,3,100,10,0,AF,94.95399,9.501033,1.387655,100.0,0.000289,0.0,67.77205,0,0,2,35,66,0,0,100,,2.2e-05,2.2e-05,24.933696,1.061281,2.63301,0.0,7.297123,0.149059,132.4462
3.45,2.59,0.684,0.0,0.0,0.2,21.04,1.14,3,0.0,23.4,0.0,0,5,1,0,M,13.777862,3.705928,5.725996,16.1019,0.000289,0.0,92.55357,10,0,0,0,6,4,0,100,,2.2e-05,2.2e-05,55.170986,0.00138,2.926186,94.44485,2.82676,0.0,122.47899
3.14,2.59,0.414,0.0,0.0,0.0,1.01,0.0,10,0.0,99.0,52.8,96,16,15,0,AF,16.960877,8.189205,2.261509,17.73927,2.607553,0.0,35.60635,5,18,0,99,0,3,0,116,,2.2e-05,2.2e-05,0.004045,0.00138,3.218723,3.23395,6.038573,0.0,136.66518
3.01,2.21,0.088,0.04,0.0,0.0,0.0,0.0,7,0.0,17.2,0.0,0,0,6,0,AF,94.95399,0.00138,0.844516,100.0,0.000289,0.0,145.0328,5,0,0,99,18,98,0,154,,2.2e-05,12.36436,94.95399,0.00138,0.466198,6.02471,0.000289,0.023407,127.1515
3.64,2.52,0.126,0.1,0.0,0.39,0.79,0.0,3,0.0,14.8,0.0,0,78,4,0,M,2.667105,39.307381,0.873279,7.06536,98.07675,0.166033,148.8429,0,17,0,2,2,6,4,101,,2.294767,16.05751,94.95399,8.570186,1.318838,19.68464,0.000289,0.045769,80.02297
2.89,2.38,0.462,0.0,0.0,0.42,21.04,0.17,22,0.0,0.0,0.0,0,13,5,0,M,94.95399,12.881853,70.063721,100.0,0.000289,0.217484,133.596,13,13,8,99,14,59,0,100,,3.411929,2.2e-05,58.263036,0.00138,95.98867,13.67857,5.285623,0.0,97.98144
3.11,2.57,1.39,0.89,0.0,0.24,4.04,2.39,3,0.0,99.0,0.0,0,100,4,0,AF,12.93555,50.551199,83.862026,68.53553,0.000289,0.105267,119.96152,9,0,0,0,96,5,0,127,,2.2e-05,53.308416,53.401684,10.436468,34.024284,90.04352,2.394839,0.047625,104.92395
3.23,2.73,0.333,0.0,0.004,0.11,21.04,1.41,15,0.0,26.7,0.0,0,7,3,0,M,94.95399,3.378849,0.00044,77.02556,67.757548,0.0,87.7498,12,0,0,99,9,50,0,101,,2.2e-05,2.2e-05,0.004045,10.231686,0.00044,0.0,2.635213,0.0,91.61666
3.21,2.21,0.397,0.0,0.0,0.0,21.04,0.0,3,5.5,16.6,0.0,2,10,7,0,M,24.191714,4.381732,6.375189,13.07682,2.01451,0.0,134.58378,0,28,0,74,0,6,0,110,,2.2e-05,6.425589,14.938231,0.00138,0.00044,0.0,0.000289,0.186282,134.73824
2.98,2.73,0.421,0.0,0.0,0.03,8.54,0.0,10,1.4,0.0,0.0,0,100,100,0,M,0.004045,2.631064,0.19805,0.0,0.000289,0.19922,89.20613,4,1,0,0,0,3,0,101,,2.047197,6.233473,0.004045,3.405882,61.542854,9.29733,3.748315,0.172368,80.02297
3.02,2.48,0.138,0.0,0.006,0.0,6.91,0.0,11,2.4,15.6,0.0,0,21,35,0,M,62.966178,12.543478,0.00044,10.0895,2.191902,0.179587,122.81557,5,26,0,7,97,4,0,100,,62.46501,3.10825,0.004045,0.00138,0.00044,0.0,5.159969,0.090227,117.13778
2.83,2.53,0.02,0.0,0.002,0.0,0.0,0.0,7,3.0,0.0,3.8,50,0,7,0,FP,94.95399,0.00138,4.755038,20.91115,3.62076,0.014217,96.23785,0,23,0,99,13,2,0,100,,2.2e-05,0.280644,94.95399,3.291419,2.584481,0.0,0.000289,0.041181,88.30081
2.88,2.73,0.02,0.08,0.0,0.34,6.19,1.05,8,0.0,40.0,0.0,0,96,7,0,M,75.356429,0.00138,0.46748,91.66653,0.000289,0.165959,83.46674,10,0,0,94,0,5,0,100,,2.620694,2.2e-05,11.264423,13.106429,6.015831,70.48369,0.000289,0.203808,99.31044
3.77,2.23,0.148,0.0,0.0,0.0,0.0,0.24,5,0.0,0.0,2.0,2,0,25,0,FP,94.95399,0.00138,0.00044,9.88821,0.000289,0.0,103.77026,7,0,0,1,13,0,0,100,,2.2e-05,62.46501,83.35161,8.383867,95.98867,100.0,5.683618,0.035891,80.02297
3.44,2.36,0.02,0.0,0.0,0.0,0.0,1.84,9,0.0,14.9,4.4,0,3,0,0,M,0.211841,11.765463,7.061517,0.0,0.000289,0.0,92.8345,0,0,3,2,97,0,0,103,,2.2e-05,0.003811,0.004045,0.00138,7.266772,100.0,5.583451,0.142029,121.8052
3.35,2.28,0.285,0.06,0.0,2.24,21.04,0.0,3,0.0,97.3,16.8,0,7,6,0,AF,94.95399,0.00138,6.666791,100.0,4.428591,0.163839,128.31347,10,19,0,6,16,5,0,100,,2.415577,2.999017,0.004045,10.148718,95.98867,12.68536,2.348023,0.130113,80.02297
3.99,2.26,0.416,0.14,0.0,0.0,21.04,0.01,23,1.5,99.0,13.6,0,18,42,0,M,11.905363,23.769764,0.00044,0.0,5.706261,0.0,133.45906,10,2,0,99,97,98,0,100,,2.2e-05,0.860206,0.004045,6.287082,0.00044,100.0,3.5542,0.0,83.63699
3.8,2.33,0.443,0.0,0.0,0.0,1.48,1.84,11,0.0,24.1,0.0,0,100,4,0,AF,25.837517,51.224694,1.632747,0.0,0.000289,0.0,140.95342,0,15,0,99,66,1,0,100,,2.2e-05,33.444203,2.813056,0.00138,0.00044,19.95474,3.66975,0.0,123.008
3.52,2.4,0.217,0.0,0.004,4.25,21.04,1.75,20,0.0,28.3,0.0,0,14,6,0,M,0.004045,0.00138,7.05495,10.73438,3.694091,0.0,76.16015,10,16,0,5,5,98,0,101,,2.2e-05,21.500365,0.004045,6.642761,6.364175,16.25026,2.201133,0.045117,153.7299
3.18,2.73,0.382,0.0,0.007,0.22,4.84,2.38,4,0.0,26.3,3.2,0,21,39,0,M,25.292229,12.000537,0.00044,0.0,61.001551,0.0,85.70719,0,0,7,2,0,2,0,100,,18.828188,2.2e-05,0.004045,13.954136,3.081555,100.0,5.798475,0.0,81.56142
3.6,2.52,0.336,0.0,0.0,4.94,0.0,0.0,13,0.0,25.8,0.9,6,3,0,0,AN,94.95399,12.276467,0.00044,68.30224,0.000289,0.179365,82.22529,0,0,0,99,2,0,0,109,,17.327743,3.406275,13.294271,4.588469,0.00044,15.20983,0.000289,0.034868,119.33072
2.89,2.08,0.02,0.0,0.0,0.1,4.34,1.06,20,4.2,24.7,2.8,30,0,6,0,M,94.95399,8.130869,0.1717,0.0,34.018835,0.0,137.52707,12,68,0,4,19,98,0,100,,2.111619,2.2e-05,16.335737,2.693091,95.98867,94.75938,0.373077,0.0,110.87807
4.24,2.59,0.199,0.0,0.0,0.0,0.0,0.24,18,0.0,21.7,24.1,0,0,1,0,AN,8.866559,9.912752,0.00044,100.0,0.297112,0.0,120.0624,26,0,0,99,97,98,0,115,,2.2e-05,20.836818,76.118216,8.271118,76.599275,0.0,1.630401,0.0,119.56101
2.93,2.23,0.263,0.0,0.0,0.0,0.0,0.0,24,1.6,23.2,7.6,2,7,0,0,FP,94.95399,13.866341,0.00044,8.82133,0.000289,0.0,124.86208,11,0,0,7,10,3,0,100,,10.534581,2.2e-05,0.004045,0.00138,0.00044,12.67167,6.006813,0.161199,80.02297
3.24,2.26,0.02,0.0,0.005,0.1,1.58,0.0,18,0.0,0.0,0.0,0,0,95,0,M,94.95399,2.135635,6.916332,0.0,0.000289,0.0,36.74844,11,7,0,1,17,0,0,100,,2.2e-05,5.652236,76.318121,8.792984,4.827889,0.0,1.764836,0.037855,113.53144
3.9,2.57,0.02,0.0,0.0,0.46,6.57,0.39,3,0.0,8.8,0.0,0,96,4,0,AN,0.004045,11.980852,7.68811,75.65365,0.960933,0.0,35.60635,0,4,2,99,92,3,0,100,,28.30915,4.600505,13.401358,3.540671,95.98867,16.43953,0.000289,0.209908,106.80127
4.12,2.26,0.028,0.0,0.0,0.0,0.84,0.66,16,1.2,38.8,0.0,0,83,100,0,AF,5.319991,0.00138,7.519685,8.83944,3.156518,0.0,138.12479,8,27,1,20,10,5,0,100,,2.2e-05,2.2e-05,26.198817,5.049468,7.66038,18.52777,4.03822,0.202412,113.63148
2.9,2.65,0.252,0.02,0.004,0.0,0.0,1.47,24,49.8,0.0,6.0,71,21,0,0,AN,5.51237,57.12141,7.719154,0.0,0.000289,0.111071,113.57763,6,0,0,4,82,0,0,100,,26.501482,4.564393,94.95399,0.00138,0.00044,99.23527,2.824817,0.038437,80.02297
2.97,2.24,0.286,0.0,0.0,0.06,0.51,1.29,8,0.0,20.0,0.0,0,89,7,0,M,51.096797,0.00138,0.00044,0.0,0.000289,0.204542,133.56079,9,25,1,27,1,6,0,152,,3.581947,4.266385,16.196397,57.12141,0.864583,1.88906,0.000289,0.0,127.10337
2.87,2.33,0.02,0.0,0.004,0.0,0.41,0.0,19,4.5,99.0,0.0,0,0,4,0,FP,91.952067,29.261608,4.19253,0.0,6.225361,0.0,76.05818,3,27,0,63,97,98,0,100,,2.2e-05,2.2e-05,28.55287,12.014276,0.919644,20.52776,4.804778,0.0,81.53356
3.84,2.33,0.1,0.1,0.0,0.0,8.21,1.02,3,0.0,1.2,0.0,0,9,5,0,M,19.310141,0.00138,0.00044,100.0,0.000289,4.554008,89.68707,1,0,0,4,97,0,0,100,,2.2e-05,2.2e-05,39.452946,13.792401,95.98867,20.182,3.747322,0.167646,80.02297
2.85,2.73,0.413,0.15,0.0,0.0,0.0,0.34,12,0.0,0.0,0.0,7,5,4,0,M,40.209712,6.579129,0.00044,100.0,1.063797,0.158045,109.58464,0,0,0,0,55,5,0,100,,0.680567,34.382796,94.95399,0.00138,0.00044,77.98464,0.000289,0.073084,100.74949
2.85,2.23,0.251,0.03,0.0,1.44,0.57,0.0,9,0.0,8.2,2.6,0,0,5,0,AN,94.95399,0.00138,0.00044,13.82255,5.378489,0.148241,118.38945,10,13,0,0,0,3,0,100,,2.2e-05,62.46501,0.004045,1.335687,0.00044,19.36755,4.429716,0.179786,136.61955
2.99,2.31,0.127,0.0,0.0,0.27,11.3,1.63,16,0.0,12.1,0.0,3,87,3,0,M,2.583075,11.015833,95.98867,10.6408,1.310293,0.070537,117.90065,10,100,0,0,15,98,0,100,,2.2e-05,16.320262,7.549838,1.657592,6.519273,23.1012,5.274572,0.0,80.02297
3.21,2.23,0.32,0.0,0.0,0.42,0.0,0.0,5,7.2,22.1,2.2,4,9,5,0,FP,0.004045,1.02125,0.00044,0.0,0.000289,0.0,133.65182,0,4,0,0,0,2,0,100,,2.2e-05,62.46501,24.290279,57.12141,0.00044,0.0,0.000289,0.15305,80.02297
3.21,2.49,0.285,0.0,0.0,0.23,21.04,0.34,3,0.0,14.6,0.0,2,1,47,0,AN,14.512636,51.862854,2.359594,0.0,0.000289,0.0,97.8593,0,10,0,0,97,2,0,100,,0.739004,1.218744,7.967896,0.00138,5.707968,100.0,6.220931,0.093067,126.7451
3.26,2.73,0.133,0.03,0.0,0.45,0.0,0.21,3,0.0,38.1,0.0,0,4,7,0,AN,94.95399,9.078474,0.00044,7.51191,0.000289,0.195788,129.95584,5,65,0,2,0,4,0,100,,6.816302,3.303019,0.145761,13.564322,0.00044,0.0,0.000289,0.0,90.40962
3.86,2.37,0.28,0.0,0.0,0.45,21.04,0.0,3,0.0,10.8,0.0,0,3,6,0,AN,5.467122,0.00138,7.112823,94.18944,2.557338,0.198917,109.49816,2,19,2,1,0,0,0,100,,36.265485,33.866572,7.381872,9.481974,95.98867,19.95319,4.486154,0.014675,80.02297
3.53,2.31,0.436,0.0,0.0,1.58,21.04,2.37,19,0.0,17.0,1.8,0,18,7,0,M,24.469884,2.139174,95.98867,82.0998,6.124585,0.16141,134.9996,0,4,0,5,97,98,0,100,,2.2e-05,5.402744,0.004045,14.066782,0.00044,100.0,98.07675,0.040511,80.29796
3.42,2.21,0.02,0.06,0.0,0.0,0.0,0.0,3,0.9,0.0,3.8,0,0,0,0,AN,44.145301,4.401339,4.781852,11.19289,0.000289,0.0,110.96385,3,0,0,99,59,47,0,108,,1.590421,6.619501,0.004045,0.567212,7.900585,6.08047,0.000289,0.151156,125.73355
